"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"CH","2015-07-20","81.4","-1.62","5.81","Beachy, Brandon",457727,545404,"strikeout","called_strike",,,,,"9","Cameron Maybin called out on strikes.","R","R","R","ATL","LAD","S","2",,"0","2",2015,"-1.37","1.3","0.55","1.83","605538","607054",,"2","4","Bot",,,,,"605131",,"150720_202807",7.76,-118.11,-4.73,-12.6,22.63,-21.28,"3.74","1.56",,,,"82.2","2072","7.2",415036,545404,"605131","408236","435062","457759","276519","444843","592626","624577","50",,,"0","1","0","0",,"35","3","Changeup","4","0","4","0","0","4","4","0","Standard","Standard",,"-0.016","-0.349"
"FF","2015-07-20","90.0","-0.99","6.2","Beachy, Brandon",457727,545404,,"foul",,,,,"6","Cameron Maybin called out on strikes.","R","R","R","ATL","LAD","S",,,"0","1",2015,"-0.77","1.57","0.57","2.83","605538","607054",,"2","4","Bot",,,,,"605131",,"150720_202739",5.58,-130.81,-5.74,-7.97,26.26,-15.42,"3.81","1.69","296","90.9","20","90.2","2225","6.5",415036,545404,"605131","408236","435062","457759","276519","444843","592626","624577","50",,,,,,,,"35","2","4-Seam Fastball","4","0","4","0","0","4","4","0","Standard","Standard",,"0","-0.115"
"CU","2015-07-20","69.9","-1.45","6.28","Beachy, Brandon",457727,545404,,"swinging_strike",,,,,"13","Cameron Maybin called out on strikes.","R","R","R","ATL","LAD","S",,,"0","0",2015,"0.39","-1.07","-0.01","1.30","605538","607054",,"2","4","Bot",,,,,"605131",,"150720_202717",1.91,-101.72,0.32,3.92,17.25,-41.34,"3.81","1.69",,,,"69.2","2350","5.9",415036,545404,"605131","408236","435062","457759","276519","444843","592626","624577","50",,,,,,,,"35","1","Curveball","4","0","4","0","0","4","4","0","Standard","Standard",,"0","-0.068"
"CH","2015-07-20","79.3","-1.88","5.73","Beachy, Brandon",607054,545404,"double","hit_into_play",,,,,"7","Jace Peterson doubles (17) on a line drive to left fielder Andre Ethier.   Eury Perez scores.    Andrelton Simmons scores.    Matt Wisler to 3rd.","R","L","R","ATL","LAD","X","7","line_drive","0","0",2015,"-1.24","1.08","-0.49","1.76","516811","592743","605538","2","4","Bot",59.96,138.71,,,"605131",,"150720_202604",5.52,-115.3,-3.79,-10.75,21.74,-23.82,"3.15","1.41","201","67.4","36","79.8","2076","6.8",415036,545404,"605131","408236","435062","457759","276519","444843","592626","624577","50","0.713","0.692","1.25","1","1","1","4","34","1","Changeup","2","0","2","0","0","4","4","0","Standard","Standard",,"0.114","2.215"
"FF","2015-07-20","86.3","-1.46","5.94","Beachy, Brandon",605538,545404,"walk","ball",,,,,"13","Matt Wisler walks.   Eury Perez to 3rd.    Andrelton Simmons to 2nd.","R","R","R","ATL","LAD","B",,,"3","1",2015,"-0.52","1.71","-0.62","0.76",,"516811","592743","2","4","Bot",,,,,"605131",,"150720_202400",2.96,-125.25,-9.68,-4.39,26.13,-15.43,"3.67","1.56",,,,"85.8","2200","6.3",415036,545404,"605131","408236","435062","457759","276519","444843","592626","624577","50",,,"0.7","1","0","0",,"33","5","4-Seam Fastball","2","0","2","0","0","2","2","0","Standard","Standard",,"0.018","0.156"
"FF","2015-07-20","85.9","-1.46","6.21","Beachy, Brandon",605538,545404,,"called_strike",,,,,"4","Matt Wisler walks.   Eury Perez to 3rd.    Andrelton Simmons to 2nd.","R","R","R","ATL","LAD","S",,,"3","0",2015,"-0.56","1.78","-0.49","2.44",,"516811","592743","2","4","Bot",,,,,"605131",,"150720_202344",3.38,-124.89,-6.37,-4.88,24.18,-14.59,"3.52","1.49",,,,"86.1","2207","6.5",415036,545404,"605131","408236","435062","457759","276519","444843","592626","624577","50",,,,,,,,"33","4","4-Seam Fastball","2","0","2","0","0","2","2","0","Standard","Standard",,"0","-0.067"
"FF","2015-07-20","85.7","-1.48","5.99","Beachy, Brandon",605538,545404,,"ball",,,,,"13","Matt Wisler walks.   Eury Perez to 3rd.    Andrelton Simmons to 2nd.","R","R","R","ATL","LAD","B",,,"2","0",2015,"-0.73","1.66","-0.01","0.66",,"516811","592743","2","4","Bot",,,,,"605131",,"150720_202323",4.98,-124.28,-9.74,-6.74,26.4,-16.21,"3.63","1.58",,,,"85.3","2090","6.5",415036,545404,"605131","408236","435062","457759","276519","444843","592626","624577","50",,,,,,,,"33","3","4-Seam Fastball","2","0","2","0","0","2","2","0","Standard","Standard",,"0","0.099"
"FF","2015-07-20","89.0","-1.26","6.17","Beachy, Brandon",605538,545404,,"ball",,,,,"12","Matt Wisler walks.   Eury Perez to 3rd.    Andrelton Simmons to 2nd.","R","R","R","ATL","LAD","B",,,"1","0",2015,"-0.7","1.88","1.36","2.79",,"516811","592743","2","4","Bot",,,,,"605131",,"150720_202300",8.01,-129.21,-6.16,-6.87,28.32,-12.41,"3.61","1.53",,,,"88.7","2225","6.4",415036,545404,"605131","408236","435062","457759","276519","444843","592626","624577","50",,,,,,,,"33","2","4-Seam Fastball","2","0","2","0","0","2","2","0","Standard","Standard",,"0","0.087"
"FF","2015-07-20","90.0","-1.05","6.54","Beachy, Brandon",605538,545404,,"ball",,,,,"12","Matt Wisler walks.   Eury Perez to 3rd.    Andrelton Simmons to 2nd.","R","R","R","ATL","LAD","B",,,"0","0",2015,"-0.36","1.56","0.74","4.50",,"516811","592743","2","4","Bot",,,,,"605131",,"150720_202246",5.17,-130.97,-2.24,-2.83,28.13,-15.65,"3.63","1.53",,,,"89.5","2329","6.1",415036,545404,"605131","408236","435062","457759","276519","444843","592626","624577","50",,,,,,,,"33","1","4-Seam Fastball","2","0","2","0","0","2","2","0","Standard","Standard",,"0","0.066"
"IN","2015-07-20","70.7","-0.52","7.01","Beachy, Brandon",592743,545404,"intent_walk","intent_ball",,,,,"12","Brandon Beachy intentionally walks Andrelton Simmons.","R","R","R","ATL","LAD","B",,,"3","0",2015,"-1.06","1.91","5.55","4.09",,"516811",,"2","4","Bot",,,,,"605131",,"150720_202213",14.01,-101.94,-1.06,-7.04,16,-19.48,"3.85","1.71",,,,"69.1","1771","5.5",415036,545404,"605131","408236","435062","457759","276519","444843","592626","624577","50",,,"0","0","0","0",,"32","4","Intentional Ball","2","0","2","0","0","2","2","0","Strategic","Standard",,"0.005",
"IN","2015-07-20","69.2","-0.59","7.02","Beachy, Brandon",592743,545404,,"intent_ball",,,,,"12","Brandon Beachy intentionally walks Andrelton Simmons.","R","R","R","ATL","LAD","B",,,"2","0",2015,"-1","1.77","4.42","4.99",,"516811",,"2","4","Bot",,,,,"605131",,"150720_202203",11.5,-100.08,1.31,-6.3,16.29,-20.97,"3.67","1.53",,,,"67.6","1732","5.4",415036,545404,"605131","408236","435062","457759","276519","444843","592626","624577","50",,,,,,,,"32","3","Intentional Ball","2","0","2","0","0","2","2","0","Strategic","Standard",,"0",
"IN","2015-07-20","68.2","-0.6","7.07","Beachy, Brandon",592743,545404,,"intent_ball",,,,,"12","Brandon Beachy intentionally walks Andrelton Simmons.","R","R","R","ATL","LAD","B",,,"1","0",2015,"-1.03","1.74","5.59","4.52",,"516811",,"2","4","Bot",,,,,"605131",,"150720_202154",13.69,-98.38,0.56,-6.41,14.81,-21.5,"3.55","1.49",,,,"66.6","1629","5.5",415036,545404,"605131","408236","435062","457759","276519","444843","592626","624577","50",,,,,,,,"32","2","Intentional Ball","2","0","2","0","0","2","2","0","Strategic","Standard",,"0",
"IN","2015-07-20","70.8","-0.65","7.14","Beachy, Brandon",592743,545404,,"intent_ball",,,,,"12","Brandon Beachy intentionally walks Andrelton Simmons.","R","R","R","ATL","LAD","B",,,"0","0",2015,"-1.46","1.42","4.50","5.83",,"516811",,"2","4","Bot",,,,,"605131",,"150720_202143",12.87,-102.23,3.1,-10.05,17.55,-23.12,"3.74","1.63",,,,"69.1","1685","5.5",415036,545404,"605131","408236","435062","457759","276519","444843","592626","624577","50",,,,,,,,"32","1","Intentional Ball","2","0","2","0","0","2","2","0","Strategic","Standard",,"0",
"CU","2015-07-20","70.5","-1.31","6.19","Beachy, Brandon",516811,545404,"double","hit_into_play",,,,,"8","Eury Perez doubles (4) on a sharp line drive to left fielder Andre Ethier.","R","R","R","ATL","LAD","X","7","line_drive","1","2",2015,"0.25","-1.38","0.14","1.78",,,,"2","4","Bot",78.74,76.92,,,"605131",,"150720_202101",2.2,-102.61,1.96,2.84,19.39,-43.65,"3.41","1.51","246","103.9","9","70.5","2411","6.7",415036,545404,"605131","408236","435062","457759","276519","444843","592626","624577","50","0.853","0.84","1.25","1","1","1","4","31","6","Curveball","2","0","2","0","0","2","2","0","Standard","Standard",,"0.016","0.239"
"FF","2015-07-20","90.8","-1.11","6.25","Beachy, Brandon",516811,545404,,"foul",,,,,"5","Eury Perez doubles (4) on a sharp line drive to left fielder Andre Ethier.","R","R","R","ATL","LAD","S",,,"1","2",2015,"-0.59","1.61","-0.16","2.40",,,,"2","4","Bot",,,,,"605131",,"150720_202034",3.6,-132.08,-7.32,-5.9,25.54,-14.56,"3.41","1.51",,,,"90.9","2219","6.3",415036,545404,"605131","408236","435062","457759","276519","444843","592626","624577","50",,,,,,,,"31","5","4-Seam Fastball","2","0","2","0","0","2","2","0","Standard","Standard",,"0","0"
"SL","2015-07-20","81.8","-1.35","6.19","Beachy, Brandon",516811,545404,,"foul",,,,,"14","Eury Perez doubles (4) on a sharp line drive to left fielder Andre Ethier.","R","R","R","ATL","LAD","S",,,"1","2",2015,"0.11","0.44","0.00","1.35",,,,"2","4","Bot",,,,,"605131",,"150720_202009",2.65,-118.96,-5.16,2.46,20.05,-29.63,"3.41","1.51",,,,"82","2223","6.3",415036,545404,"605131","408236","435062","457759","276519","444843","592626","624577","50",,,,,,,,"31","4","Slider","2","0","2","0","0","2","2","0","Standard","Standard",,"0","0"
"FF","2015-07-20","91.4","-1.21","6.48","Beachy, Brandon",516811,545404,,"ball",,,,,"11","Eury Perez doubles (4) on a sharp line drive to left fielder Andre Ethier.","R","R","R","ATL","LAD","B",,,"0","2",2015,"-0.61","1.81","-0.39","4.94",,,,"2","4","Bot",,,,,"605131",,"150720_201953",3.31,-133.12,-1.67,-6.06,32.51,-12.2,"3.35","1.39",,,,"90.9","2215","6.4",415036,545404,"605131","408236","435062","457759","276519","444843","592626","624577","50",,,,,,,,"31","3","4-Seam Fastball","2","0","2","0","0","2","2","0","Standard","Standard",,"0","0.007"
"CU","2015-07-20","71.1","-1.33","6.24","Beachy, Brandon",516811,545404,,"swinging_strike",,,,,"14","Eury Perez doubles (4) on a sharp line drive to left fielder Andre Ethier.","R","R","R","ATL","LAD","S",,,"0","1",2015,"0.53","-1.25","0.64","0.73",,,,"2","4","Bot",,,,,"605131",,"150720_201929",2.75,-103.49,-0.62,5.09,19.2,-42.96,"3.41","1.51",,,,"69.4","2383","5.3",415036,545404,"605131","408236","435062","457759","276519","444843","592626","624577","50",,,,,,,,"31","2","Curveball","2","0","2","0","0","2","2","0","Standard","Standard",,"0","-0.022"
"FF","2015-07-20","89.3","-1.26","6.25","Beachy, Brandon",516811,545404,,"called_strike",,,,,"2","Eury Perez doubles (4) on a sharp line drive to left fielder Andre Ethier.","R","R","R","ATL","LAD","S",,,"0","0",2015,"-0.6","1.76","0.04","2.73",,,,"2","4","Bot",,,,,"605131",,"150720_201914",4.44,-129.89,-6.31,-5.66,29.77,-13.7,"2.99","1.24",,,,"88.6","2235","6.2",415036,545404,"605131","408236","435062","457759","276519","444843","592626","624577","50",,,,,,,,"31","1","4-Seam Fastball","2","0","2","0","0","2","2","0",,,,"0","-0.016"
"CH","2015-07-20","79.0","-1.82","5.92","Beachy, Brandon",519345,545404,"field_out","hit_into_play",,,,,"4","Joey Terdoslavich pops out to catcher Austin Barnes in foul territory.","R","L","R","ATL","LAD","X","2","popup","0","0",2015,"-0.98","1.65","-0.75","2.19",,,,"1","4","Bot",117.51,211.39,,,"605131",,"150720_201832",4.23,-114.9,-4.37,-8.17,20.91,-18.55,"3.44","1.56",,"80.0","69","79.2","2018","6.5",415036,545404,"605131","408236","435062","457759","276519","444843","592626","624577","50","0","0","0","1","0","0","3","30","1","Changeup","2","0","2","0","0","2","2","0","Standard","Standard",,"-0.011","-0.155"
"FF","2015-07-20","89.8","-1.31","6.24","Beachy, Brandon",346874,545404,"field_out","hit_into_play",,,,,"1","Juan Uribe flies out to center fielder Joc Pederson.","R","R","R","ATL","LAD","X","8","fly_ball","3","2",2015,"-0.51","1.41","-0.35","3.01",,,,"0","4","Bot",119.32,106.6,,,"605131",,"150720_201751",3.39,-130.75,-4.99,-4.76,26.48,-17.42,"3.52","1.68","220","92.0","59","90.5","2227","6.7",415036,545404,"605131","408236","435062","457759","276519","444843","592626","624577","50","0.02","0.027","0","1","0","0","3","29","8","4-Seam Fastball","2","0","2","0","0","2","2","0","Standard","Standard",,"-0.014","-0.29"
"FF","2015-07-20","91.1","-1.18","6.33","Beachy, Brandon",346874,545404,,"foul",,,,,"2","Juan Uribe flies out to center fielder Joc Pederson.","R","R","R","ATL","LAD","S",,,"3","2",2015,"-0.86","1.62","-0.22","3.58",,,,"0","4","Bot",,,,,"605131",,"150720_201718",4.31,-132.62,-4.46,-9.42,28.02,-14.4,"3.52","1.68","189","74.8","57","91.1","2279","6.4",415036,545404,"605131","408236","435062","457759","276519","444843","592626","624577","50",,,,,,,,"29","7","4-Seam Fastball","2","0","2","0","0","2","2","0","Standard","Standard",,"0","0"
"CU","2015-07-20","70.1","-0.96","6.58","Beachy, Brandon",346874,545404,,"ball",,,,,"12","Juan Uribe flies out to center fielder Joc Pederson.","R","R","R","ATL","LAD","B",,,"2","2",2015,"0.29","-1.64","0.69","3.64",,,,"0","4","Bot",,,,,"605131",,"150720_201659",2.52,-101.9,5.42,3.18,17.75,-45.49,"3.45","1.64",,,,"69.8","2393","6.4",415036,545404,"605131","408236","435062","457759","276519","444843","592626","624577","50",,,,,,,,"29","6","Curveball","2","0","2","0","0","2","2","0","Standard","Standard",,"0","0.089"
"CH","2015-07-20","79.6","-1.66","5.75","Beachy, Brandon",346874,545404,,"foul",,,,,"9","Juan Uribe flies out to center fielder Joc Pederson.","R","R","R","ATL","LAD","S",,,"2","2",2015,"-1.51","1.25","0.50","1.58",,,,"0","4","Bot",,,,,"605131",,"150720_201637",7.87,-115.46,-4.67,-13.43,20.84,-22.15,"3.52","1.68",,,,"80","2121","6.8",415036,545404,"605131","408236","435062","457759","276519","444843","592626","624577","50",,,,,,,,"29","5","Changeup","2","0","2","0","0","2","2","0","Standard","Standard",,"0","0"
"FF","2015-07-20","87.9","-1.24","6.26","Beachy, Brandon",346874,545404,,"foul",,,,,"2","Juan Uribe flies out to center fielder Joc Pederson.","R","R","R","ATL","LAD","S",,,"2","1",2015,"-0.14","1.72","0.25","3.02",,,,"0","4","Bot",,,,,"605131",,"150720_201613",3.79,-127.83,-5.32,-0.13,25.75,-14.46,"3.52","1.68",,,,"87.7","2124","6.3",415036,545404,"605131","408236","435062","457759","276519","444843","592626","624577","50",,,,,,,,"29","4","4-Seam Fastball","2","0","2","0","0","2","2","0","Standard","Standard",,"0","-0.062"
"CU","2015-07-20","70.0","-1.49","6.59","Beachy, Brandon",346874,545404,,"ball",,,,,"11","Juan Uribe flies out to center fielder Joc Pederson.","R","R","R","ATL","LAD","B",,,"1","1",2015,"0.54","-1.4","-0.91","4.29",,,,"0","4","Bot",,,,,"605131",,"150720_201555",-0.09,-101.67,6.31,4.99,17.7,-43.7,"3.42","1.56",,,,"69.8","2449","6.4",415036,545404,"605131","408236","435062","457759","276519","444843","592626","624577","50",,,,,,,,"29","3","Curveball","2","0","2","0","0","2","2","0","Standard","Standard",,"0","0.048"
"FF","2015-07-20","89.2","-1.22","6.26","Beachy, Brandon",346874,545404,,"foul",,,,,"1","Juan Uribe flies out to center fielder Joc Pederson.","R","R","R","ATL","LAD","S",,,"1","0",2015,"-0.72","1.56","-0.54","2.99",,,,"0","4","Bot",,,,,"605131",,"150720_201536",3.15,-129.87,-5.29,-7.25,27.46,-15.92,"3.52","1.68",,,,"89.6","2218","6.6",415036,545404,"605131","408236","435062","457759","276519","444843","592626","624577","50",,,,,,,,"29","2","4-Seam Fastball","2","0","2","0","0","2","2","0","Standard","Standard",,"0","-0.042"
"SL","2015-07-20","82.0","-1.29","6.45","Beachy, Brandon",346874,545404,,"ball",,,,,"11","Juan Uribe flies out to center fielder Joc Pederson.","R","R","R","ATL","LAD","B",,,"0","0",2015,"0.08","0.5","-0.21","3.66",,,,"0","4","Bot",,,,,"605131",,"150720_201523",2.1,-119.3,-0.42,2.19,21.83,-29.09,"3.53","1.57",,,,"82","1103","6.4",415036,545404,"605131","408236","435062","457759","276519","444843","592626","624577","50",,,,,,,,"29","1","Slider","2","0","2","0","0","2","2","0","Standard","Standard",,"0","0.033"
"SL","2015-07-20","82.7","-1.24","6.21","Beachy, Brandon",150229,545404,"field_out","hit_into_play",,,,,"6","A.J. Pierzynski flies out to center fielder Joc Pederson.","R","L","R","ATL","LAD","X","8","fly_ball","1","2",2015,"-0.2","0.52","0.59","2.61",,,,"2","3","Bot",118.72,84.8,,,"605131",,"150720_195951",4.53,-120.26,-2.55,-0.75,20.86,-28.8,"3.62","1.69","302","81.8","31","83.1","2200","6.4",415036,545404,"605131","408236","435062","457759","276519","444843","592626","624577","50","0.04","0.04","0","1","0","0","3","23","4","Slider","2","0","2","0","0","2","2","0","Standard","Standard",,"-0.008","-0.068"
